IP地址,端口,TLS,域名后缀,数据中心,08-15-05:11:48,城市,网络延迟(ms),下载速度(MB/s)
47.242.59.216,8443,true,HK,HKG,Asia Pacific,Hong Kong,43,10.7
47.242.155.183,8443,true,HK,HKG,Asia Pacific,Hong Kong,39,10.6
8.210.207.214,8443,true,HK,HKG,Asia Pacific,Hong Kong,44,10.6
8.210.34.188,8443,true,HK,HKG,Asia Pacific,Hong Kong,37,10.6
8.218.11.90,8443,true,HK,HKG,Asia Pacific,Hong Kong,41,10.5
47.242.157.96,8443,true,HK,HKG,Asia Pacific,Hong Kong,46,10.5
47.242.252.237,8443,true,HK,HKG,Asia Pacific,Hong Kong,47,10.5
47.243.42.155,8443,true,HK,HKG,Asia Pacific,Hong Kong,39,10.4
47.243.107.148,8443,true,HK,HKG,Asia Pacific,Hong Kong,41,10.4
47.242.79.71,8443,true,HK,HKG,Asia Pacific,Hong Kong,42,10.3
47.242.202.230,8443,true,HK,HKG,Asia Pacific,Hong Kong,38,10.2

