IP地址,端口,TLS,国家代码,数据中心,城市,网络延迟,下载速度
185.214.103.3,8443,true,KR,ICN,Seoul,57 ms,7.0
59.3.3.161,443,true,KR,ICN,Seoul,99 ms,5.4
146.56.41.148,443,true,KR,ICN,Seoul,85 ms,3.4
52.141.25.42,443,true,KR,ICN,Seoul,134 ms,2.9
