IP地址,端口,TLS,域名后缀,数据中心,08-14-08:39:21,城市,网络延迟(ms),下载速度(MB/s)
206.238.237.6,2087,true,US,SJC,North America,San Jose,185,7.8
206.238.236.195,2087,true,US,SJC,North America,San Jose,176,7.7
206.238.237.235,2087,true,US,SJC,North America,San Jose,182,7.6
206.238.236.8,2087,true,US,SJC,North America,San Jose,185,7.3
156.238.18.100,2087,true,US,SJC,North America,San Jose,176,7.1
206.238.236.161,2087,true,US,SJC,North America,San Jose,182,6.1
206.238.237.244,2087,true,US,SJC,North America,San Jose,190,6.0
