IP地址,端口,TLS,域名后缀,数据中心,08-17-05:11:08,城市,网络延迟(ms),下载速度(MB/s)
47.242.7.162,2083,true,HK,HKG,Asia Pacific,Hong Kong,41,13.4
47.243.42.155,2083,true,HK,HKG,Asia Pacific,Hong Kong,39,13.2
47.243.86.79,2083,true,HK,HKG,Asia Pacific,Hong Kong,46,13.1
47.243.60.150,2083,true,HK,HKG,Asia Pacific,Hong Kong,38,12.9
8.219.40.37,2083,true,SG,SIN,Asia Pacific,Singapore,81,11.8
47.243.139.85,2083,true,HK,HKG,Asia Pacific,Hong Kong,43,11.0
8.210.119.11,2083,true,HK,HKG,Asia Pacific,Hong Kong,40,11.0
47.242.107.109,2083,true,HK,HKG,Asia Pacific,Hong Kong,43,10.3
8.210.21.65,2083,true,HK,HKG,Asia Pacific,Hong Kong,42,10.3
8.217.123.243,2083,true,HK,HKG,Asia Pacific,Hong Kong,39,9.9
8.222.193.65,2083,true,SG,SIN,Asia Pacific,Singapore,222,9.6
47.243.70.186,2083,true,HK,HKG,Asia Pacific,Hong Kong,43,9.4
8.210.175.109,2083,true,HK,HKG,Asia Pacific,Hong Kong,42,9.0
