IP地址,端口,TLS,域名后缀,数据中心,08-17-05:11:08,城市,网络延迟(ms),下载速度(MB/s)
47.242.107.109,2053,true,HK,HKG,Asia Pacific,Hong Kong,45,13.5
47.243.86.79,2053,true,HK,HKG,Asia Pacific,Hong Kong,40,13.4
8.210.175.109,2053,true,HK,HKG,Asia Pacific,Hong Kong,288,13.3
8.210.21.65,2053,true,HK,HKG,Asia Pacific,Hong Kong,41,13.2
47.243.42.155,2053,true,HK,HKG,Asia Pacific,Hong Kong,39,13.2
8.217.123.243,2053,true,HK,HKG,Asia Pacific,Hong Kong,45,13.1
8.210.119.11,2053,true,HK,HKG,Asia Pacific,Hong Kong,45,10.2
47.76.204.76,2053,true,HK,HKG,Asia Pacific,Hong Kong,40,9.0
47.242.7.162,2053,true,HK,HKG,Asia Pacific,Hong Kong,39,8.6
47.243.139.85,2053,true,HK,HKG,Asia Pacific,Hong Kong,37,8.1
