IP地址,端口,TLS,域名后缀,数据中心,08-15-11:12:05,城市,网络延迟(ms),下载速度(MB/s)
8.217.248.220,2053,true,HK,HKG,Asia Pacific,Hong Kong,40,10.5
47.243.86.79,2053,true,HK,HKG,Asia Pacific,Hong Kong,51,10.5
8.218.201.73,2053,true,HK,HKG,Asia Pacific,Hong Kong,39,10.5
47.243.70.186,2053,true,HK,HKG,Asia Pacific,Hong Kong,41,10.2
47.243.5.154,2053,true,HK,HKG,Asia Pacific,Hong Kong,37,10.1
8.218.173.78,2053,true,HK,HKG,Asia Pacific,Hong Kong,48,10.0
8.210.192.93,2053,true,HK,HKG,Asia Pacific,Hong Kong,40,9.6
47.242.202.230,2053,true,HK,HKG,Asia Pacific,Hong Kong,42,9.2
47.242.59.216,2053,true,HK,HKG,Asia Pacific,Hong Kong,46,8.9
8.210.207.214,2053,true,HK,HKG,Asia Pacific,Hong Kong,43,8.7
47.242.157.96,2053,true,HK,HKG,Asia Pacific,Hong Kong,42,8.5
47.242.252.237,2053,true,HK,HKG,Asia Pacific,Hong Kong,50,8.3
8.217.207.60,2053,true,HK,HKG,Asia Pacific,Hong Kong,39,8.2
