IP地址,端口,TLS,国家代码,数据中心,城市,网络延迟,下载速度
66.245.195.88,2087,true,GB,MAN,Manchester,281 ms,3.8
209.38.182.156,2087,true,DE,FRA,Frankfurt,300 ms,3.8
95.179.167.55,2087,true,DE,FRA,Frankfurt,281 ms,3.8
66.245.193.180,2087,true,GB,MAN,Manchester,284 ms,3.4
162.19.24.175,2087,true,GB,LHR,London,278 ms,2.2
